strategy,window,sample,side,entry_time,open_entry,high_entry,low_entry,close_entry,exit_time,open_exit,high_exit,low_exit,close_exit,pnl
EMA_x_EMA100_accel_SL2,W02,IS,1,2021-02-01 06:00:00,33544.1,34922.3,33211.4,34788.6,2021-02-01 08:00:00,34799.2,35411.5,34544.7,35211.3,91.23
EMA_x_EMA100_accel_SL2,W02,IS,-1,2021-02-03 10:00:00,48511.4,49122.3,46544.1,46988.5,2021-02-03 12:00:00,46999.7,47544.2,46211.3,46488.6,144.71
EMA_x_EMA100_accel_SL2,W02,IS,1,2021-02-05 18:00:00,44211.3,46322.5,43888.4,46011.7,2021-02-05 20:00:00,46022.1,46788.4,45544.2,46344.8,128.44
EMA_x_EMA100_accel_SL2,W02,OOS,-1,2021-02-18 08:00:00,46788.4,47122.1,44011.3,44322.5,2021-02-18 10:00:00,44333.6,44788.3,43544.1,43844.7,117.82
EMA_x_EMA100_accel_SL2,W03,IS,1,2021-03-01 04:00:00,45211.4,46544.2,44788.6,46211.3,2021-03-01 06:00:00,46222.5,47011.4,45788.3,46644.8,98.34
EMA_x_EMA100_accel_SL2,W03,IS,-1,2021-03-04 14:00:00,55011.3,55544.2,52188.6,52544.1,2021-03-04 16:00:00,52555.3,53011.7,51788.4,52011.6,-44.21
EMA_x_EMA100_accel_SL2,W03,OOS,1,2021-03-18 02:00:00,56788.4,58122.1,56211.3,57844.6,2021-03-18 04:00:00,57855.2,58544.3,57211.5,57988.7,-38.55
EMA_x_EMA100_accel_SL2,W04,IS,1,2021-04-01 10:00:00,58544.2,61122.4,58011.3,60788.6,2021-04-01 12:00:00,60799.1,61544.5,60211.3,61322.7,144.88
EMA_x_EMA100_accel_SL2,W04,IS,-1,2021-04-06 08:00:00,55211.4,55788.3,53011.5,53322.7,2021-04-06 10:00:00,53333.4,53788.2,52544.1,52788.5,122.63
EMA_x_EMA100_accel_SL2,W04,OOS,1,2021-04-20 14:00:00,53011.3,54322.6,52544.1,54011.5,2021-04-20 16:00:00,54022.7,54788.3,53511.4,54544.8,108.44
EMA_x_EMA100_accel_SL2,W05,IS,-1,2021-05-03 06:00:00,57788.4,58122.3,55011.5,55344.7,2021-05-03 08:00:00,55355.2,55788.6,54544.1,54788.5,133.72
EMA_x_EMA100_accel_SL2,W05,IS,1,2021-05-08 18:00:00,54211.3,55544.2,53788.6,55211.5,2021-05-08 20:00:00,55222.7,55988.4,54744.1,55688.3,88.91
EMA_x_EMA100_accel_SL2,W05,OOS,-1,2021-05-19 10:00:00,43011.4,43544.2,41788.6,42011.3,2021-05-19 12:00:00,42022.5,42544.1,41211.4,41544.8,112.44
EMA_x_EMA100_accel_SL2,W06,IS,1,2021-06-01 04:00:00,35788.6,36544.3,35211.4,36322.7,2021-06-01 06:00:00,36333.4,37011.5,35988.2,36844.1,98.33
EMA_x_EMA100_accel_SL2,W06,IS,-1,2021-06-05 16:00:00,37011.5,37322.4,35544.1,35788.5,2021-06-05 18:00:00,35799.2,36011.4,35188.7,35344.1,77.44
EMA_x_EMA100_accel_SL2,W06,IS,1,2021-06-10 08:00:00,33211.4,34322.5,32788.6,34011.3,2021-06-10 10:00:00,34022.5,34788.4,33544.1,34544.7,144.22
EMA_x_EMA100_accel_SL2,W06,OOS,-1,2021-06-22 14:00:00,31788.6,32011.3,30211.4,30344.7,2021-06-22 16:00:00,30355.2,30788.5,29744.1,30011.4,102.81
EMA_x_EMA100_accel_SL2,W06,OOS,1,2021-06-25 02:00:00,32011.4,33122.5,31544.2,32988.7,2021-06-25 04:00:00,32999.3,33544.1,32544.7,33211.5,88.44
EMA_x_EMA100_accel_SL2,W06,OOS,-1,2021-06-28 10:00:00,33788.5,34011.2,32544.1,32788.6,2021-06-28 12:00:00,32799.3,33011.5,32211.4,32444.8,91.22
EMA_x_EMA100_accel_SL2,W06,OOS,1,2021-06-30 18:00:00,34211.3,35322.6,33788.4,35011.7,2021-06-30 20:00:00,35022.4,35788.3,34544.1,35544.8,124.77
